,AAPL,ABBV,ADBE,AEP,AMT,AMZN,APD,AXP,BA,BAC,C,CAT,CL,CMCSA,COP,COST,CRM,CVX,DIS,DUK,ECL,EOG,EQIX,FCX,GE,GOOGL,GS,HON,JNJ,JPM,KO,LIN,LLY,LMT,META,MRK,MS,MSFT,NEE,NVDA,PEP,PFE,PG,PLD,SLB,SO,SPG,T,UNH,UPS,VZ,WFC,WMT,XOM
ECL,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-292.4951600838749,-228.71985407539245,-88.5107594418315,-91.88827204555716,-78.50549018346277,-0.0,-0.0,-0.0,-0.0,-0.0,-39.26228162952446,-0.0,-37.114756122187615,-0.0,4448.378303985229,-0.0,-0.0,-175.525049324496,-7.450375703939592,-0.0,-0.0,-216.36085157519128,-0.0,-0.0,-0.0,-206.3899013652004,-0.0,-0.0,-0.0,-0.0,-207.82930059985904,-33.783965760360076,-0.0,-101.84830884005412,-0.0,-0.0,-0.0,-112.81561708166622,-0.0,-0.0,-105.51633604282054,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EOG,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13.563669099719368,-60.06981536554914,-24.490849553220936,-99.83571900168826,-0.0,-0.0,-1292.2754780648622,-0.0,-0.0,-316.4517204894785,-2.5657231502247764,-0.0,-0.0,3224.0160422516356,-0.0,-57.4267557567742,-35.230026468893364,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-769.5236614677493,-0.0,-21.287291585444233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-642.1930545503302
EQIX,-0.0,-0.0,-180.08224599962327,-0.0,-721.2524113256733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-60.990737830013146,-0.0,-0.0,-0.0,-0.0,-0.0,3903.1387510650225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-47.46768670909441,-0.0,-0.0,-4.966231587384712,-49.047416594972994,-158.7961322602457,-0.0,-0.0,-0.0,-659.2922276437472,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FCX,-57.22030611012338,-87.01890075241853,-0.0,-0.0,-0.0,-0.0,-247.9224881417506,-77.16364553992544,-19.713091759043575,-0.0,-7.384866920376493,-540.3772499147731,-0.0,-76.6948221333972,-193.9846382275491,-0.0,-72.15029231175029,-225.0036504201349,-99.72593270757719,-0.0,-175.525049324496,-57.4267557567742,-0.0,1336.4933784121615,-60.53204901212081,-32.68047177789036,-125.7889229992141,-174.93896091552992,-0.0,-13.68241699649373,-0.0,-350.537637288864,-0.0,-0.0,-3.151117305134451,-0.0,-65.73356080538291,-67.22240908951478,-0.0,-30.20293724791844,-0.0,-0.0,-0.0,-39.496723367976756,-95.28489661842882,-0.0,-0.0,-48.01649036667276,-70.43456100422941,-155.41370744205514,-0.0,-0.0,-0.0,-75.58323002749452
GE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-142.64513241160805,-316.3760114424598,-30.867614832927057,-187.48289200285978,-149.09188600584227,-0.0,-0.0,-39.449472797341826,-0.0,-0.0,-0.0,-0.0,-0.0,-7.450375703939592,-35.230026468893364,-0.0,-60.53204901212081,2512.888179701395,-0.0,-33.54996946875159,-180.67487318510598,-0.0,-63.20151627060059,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-123.12913612692702,-0.0,-0.0,-50.17503051367606,-0.0,-0.0,-0.0,-0.0,-141.53351123335102,-0.0,-132.27052818531595,-0.0,-0.0,-0.0,-0.0,-102.36326809223392,-0.0,-0.0
GOOGL,-238.64998432981815,-0.0,-280.48864615635296,-0.0,-0.0,-512.383087453413,-0.0,-17.707413316436842,-70.2362792890185,-0.0,-34.89211539491597,-0.0,-0.0,-0.0,-0.0,-0.0,-85.61435124093235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-32.68047177789036,-0.0,4141.010748728977,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-569.1223684217842,-0.0,-24.224231894690337,-602.7950854595384,-0.0,-232.58729617717296,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
GS,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-195.64066002050401,-73.41519660500545,-603.466036201878,-675.7180577997408,-160.9016339592595,-0.0,-15.760743515582961,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-125.7889229992141,-33.54996946875159,-0.0,5176.952799032383,-0.0,-0.0,-553.9876489853349,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1227.8928911701882,-0.0,-0.0,-73.0065854988772,-0.0,-0.0,-0.0,-0.0,-9.835711515086821,-0.0,-34.357360968547674,-0.0,-0.0,-0.0,-0.0,-342.8502353335932,-0.0,-0.0
HON,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-253.2270338236914,-425.50163223606586,-35.532667599701526,-243.8792406288951,-158.8652256173605,-0.0,-0.0,-7.808161650143758,-0.0,-0.0,-0.0,-0.0,-0.0,-216.36085157519128,-0.0,-0.0,-174.93896091552992,-180.67487318510598,-0.0,-0.0,5636.976443588645,-0.0,-20.533926757832404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-258.96462800786827,-0.0,-0.0,-12.599057955115459,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-177.07955895948703,-0.0,-0.0,-0.0,-0.0,-27.986335986123766,-0.0,-0.0
JNJ,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7714.858454032988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
JPM,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-370.66033309341117,-73.78375163530721,-1136.8754142666883,-891.7658297787111,-13.91109490730868,-0.0,-0.0,-0.0,-0.0,-0.0,-73.23402624094409,-0.0,-0.0,-0.0,-0.0,-0.0,-13.68241699649373,-63.20151627060059,-0.0,-553.9876489853349,-20.533926757832404,-0.0,5907.823696665138,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-581.4772035509616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-72.19723211660211,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-637.8833482568671,-0.0,-0.0
